age,hours_per_day,while_working,bpm,frequency_classical,frequency_edm,frequency_folk,frequency_hip_hop,frequency_latin,frequency_lofi,frequency_metal,frequency_pop,frequency_r&b,frequency_rock,frequency_video_game_music,anxiety,depression,insomnia,ocd,hour,minute,primary_streaming_service,fav_genre,age_bin,hours_per_day_bin,date,music_effects
20,4.0,1,161.0,2,4,3,3,1,3,2,4,4,4,2,7.0,2.0,8.0,6.0,11,50,spotify,edm,16-20,3-4,2022-08-28,3
23,2.0,1,80.0,3,1,2,1,2,2,2,3,3,3,4,4.0,2.0,3.0,4.0,11,54,youtube music,video game music,21-25,1-2,2022-08-28,3
18,5.0,1,130.0,4,1,3,3,1,3,4,3,2,4,3,7.0,6.0,5.0,0.0,11,55,spotify,rock,16-20,4-5,2022-08-28,3
37,0.25,0,147.0,4,1,2,2,2,1,1,4,3,3,3,3.0,2.0,10.0,0.0,11,58,youtube music,video game music,36-40,0-1,2022-08-28,2
17,3.0,1,100.0,4,4,1,4,2,3,1,3,4,2,3,6.0,6.0,8.0,2.0,12,8,spotify,classical,16-20,2-3,2022-08-28,3
18,4.0,1,77.0,2,1,1,4,1,1,4,3,3,4,1,1.0,0.0,8.0,2.0,12,12,spotify,metal,16-20,3-4,2022-08-28,2
17,1.0,1,118.0,1,2,4,2,2,2,2,2,2,3,3,7.0,3.0,1.0,5.0,12,15,i do not use a streaming service.,folk,16-20,0-1,2022-08-28,3
36,1.0,0,132.0,4,1,2,1,1,1,3,2,1,3,1,8.0,9.0,3.0,0.0,12,23,spotify,classical,36-40,0-1,2022-08-28,2
24,3.0,1,115.0,2,2,3,1,1,4,2,3,1,4,3,9.0,6.0,4.0,3.0,12,30,spotify,rock,21-25,2-3,2022-08-28,3
18,5.0,1,157.0,1,2,2,4,2,2,4,3,2,4,1,7.0,9.0,5.0,0.0,12,32,spotify,metal,16-20,4-5,2022-08-28,3
19,3.0,1,90.0,3,3,1,4,1,3,2,4,3,3,3,7.0,4.0,2.0,4.0,12,37,spotify,pop,16-20,2-3,2022-08-28,2
17,2.0,1,128.0,1,4,1,2,2,2,4,3,3,4,2,0.0,0.0,0.0,0.0,12,39,apple music,edm,16-20,1-2,2022-08-28,3
16,6.0,1,169.0,2,1,2,4,4,4,1,3,4,2,1,7.0,8.0,7.0,5.0,12,52,spotify,k pop,16-20,5-6,2022-08-28,3
23,1.0,0,140.0,3,3,2,4,1,1,3,2,2,4,2,10.0,6.0,3.0,10.0,12,53,apple music,rap,21-25,0-1,2022-08-28,2
23,12.0,1,96.0,4,1,4,2,2,2,1,4,3,2,1,3.0,7.0,5.0,5.0,12,54,spotify,pop,21-25,11-12,2022-08-28,2
22,4.0,1,126.0,2,2,3,2,1,2,3,4,3,4,2,8.0,7.0,4.0,3.0,13,1,spotify,rock,21-25,3-4,2022-08-28,3
16,2.0,1,100.0,4,1,1,2,1,1,1,2,2,3,2,0.0,0.0,1.0,3.0,13,5,apple music,classical,16-20,1-2,2022-08-28,3
18,6.0,1,91.0,2,1,2,1,1,1,4,2,1,4,1,8.0,6.0,2.0,10.0,13,8,spotify,rock,16-20,5-6,2022-08-28,2
42,0.0,1,100.0,2,1,1,1,1,1,3,2,2,3,3,9.0,0.0,10.0,0.0,13,9,i do not use a streaming service.,rock,41-45,0-1,2022-08-28,2
23,7.0,1,55.0,2,1,4,3,2,1,3,3,2,2,3,6.0,4.0,2.0,3.0,13,18,spotify,folk,21-25,6-7,2022-08-28,3
23,1.0,1,85.0,3,3,2,2,2,4,1,3,4,3,4,7.0,0.0,0.0,2.0,13,22,i do not use a streaming service.,video game music,21-25,0-1,2022-08-28,3
19,1.0,0,160.0,1,1,1,1,1,1,1,1,1,1,2,10.0,1.0,0.0,0.0,13,22,youtube music,k pop,16-20,0-1,2022-08-28,3
22,1.0,0,108.0,2,3,2,1,1,1,1,3,2,4,2,8.0,7.0,0.0,5.0,13,34,pandora,rock,21-25,0-1,2022-08-28,3
15,2.0,1,156.0,1,2,2,1,1,2,3,3,1,4,3,3.0,2.0,6.0,7.0,13,34,other streaming service,rock,11-15,1-2,2022-08-28,3
25,2.0,0,170.0,2,2,3,2,1,2,4,3,1,4,4,5.0,5.0,3.0,1.0,13,42,spotify,metal,21-25,1-2,2022-08-28,2
32,5.0,1,91.0,3,2,3,3,1,1,4,4,4,4,1,10.0,10.0,3.0,1.0,13,43,spotify,rock,31-35,4-5,2022-08-28,1
36,6.0,1,174.0,4,2,4,1,1,2,4,2,1,3,4,5.0,4.0,10.0,2.0,13,46,spotify,metal,36-40,5-6,2022-08-28,3
24,3.0,0,130.0,3,1,2,1,2,1,4,4,1,4,1,0.0,0.0,8.0,0.0,13,48,spotify,rock,21-25,2-3,2022-08-28,2
29,4.0,0,140.0,2,2,1,4,2,2,1,3,3,3,1,8.0,8.0,5.0,10.0,13,55,spotify,hip hop,26-30,3-4,2022-08-28,3
41,3.0,1,130.0,3,3,1,2,1,3,3,3,1,2,1,10.0,7.0,8.0,0.0,13,57,apple music,metal,41-45,2-3,2022-08-28,3
36,2.0,1,127.0,3,4,3,2,1,1,4,3,2,4,3,7.0,3.0,1.0,1.0,13,59,i do not use a streaming service.,rock,36-40,1-2,2022-08-28,3
19,3.0,1,160.0,2,3,2,3,3,3,3,3,4,4,2,8.0,7.0,4.0,0.0,14,0,youtube music,rock,16-20,2-3,2022-08-28,3
31,2.0,1,100.0,1,1,2,1,1,1,3,4,1,4,1,10.0,2.0,0.0,5.0,14,1,spotify,rock,31-35,1-2,2022-08-28,2
16,4.0,1,100.0,3,2,3,2,2,3,3,4,2,4,4,9.0,8.0,1.0,2.0,14,2,spotify,rock,16-20,3-4,2022-08-28,3
26,2.0,1,165.0,2,4,2,4,2,2,2,3,2,4,2,6.0,3.0,1.0,1.0,14,4,spotify,hip hop,26-30,1-2,2022-08-28,3
22,0.5,0,113.0,3,1,1,4,2,1,1,3,3,1,1,7.0,7.0,0.0,1.0,14,4,apple music,hip hop,21-25,0-1,2022-08-28,2
16,5.0,1,167.0,3,1,1,2,2,1,1,4,2,3,1,7.0,7.0,8.0,4.0,14,7,spotify,jazz,16-20,4-5,2022-08-28,3
17,5.0,1,95.0,1,2,2,1,1,1,4,2,1,4,3,4.0,1.0,0.0,0.0,14,8,spotify,metal,16-20,4-5,2022-08-28,3
19,10.0,1,110.0,1,4,1,3,1,1,1,2,4,1,1,7.0,2.0,1.0,5.0,14,10,spotify,r&b,16-20,9-10,2022-08-28,3
18,2.0,0,150.0,3,4,1,2,1,3,1,4,2,2,4,9.0,0.0,5.0,10.0,14,10,youtube music,edm,16-20,1-2,2022-08-28,3
18,4.0,1,93.0,1,2,1,4,2,3,1,4,4,3,2,2.0,7.0,1.0,1.0,14,12,youtube music,hip hop,16-20,3-4,2022-08-28,3
19,5.0,0,90.0,2,1,2,3,4,2,3,2,3,4,2,10.0,8.0,7.0,0.0,14,14,spotify,rock,16-20,4-5,2022-08-28,3
19,3.0,1,118.0,2,2,1,4,3,4,1,3,3,2,4,3.0,0.0,0.0,0.0,14,18,spotify,jazz,16-20,2-3,2022-08-28,3
22,2.0,1,126.0,1,4,1,3,1,1,1,3,1,4,2,7.0,8.0,5.0,1.0,14,24,spotify,k pop,21-25,1-2,2022-08-28,2
16,2.5,1,103.0,2,1,4,2,3,3,2,4,2,4,2,2.0,1.0,0.0,0.0,14,25,spotify,rock,16-20,2-3,2022-08-28,3
19,3.0,1,77.0,2,3,1,4,2,2,2,4,4,2,4,5.0,4.0,0.0,1.0,14,26,spotify,r&b,16-20,2-3,2022-08-28,3
37,1.0,1,115.0,2,2,2,2,1,2,2,3,2,4,1,9.0,10.0,6.0,10.0,14,29,spotify,rock,36-40,0-1,2022-08-28,2
14,7.0,1,110.0,2,4,1,1,3,1,1,3,1,4,4,2.0,0.0,0.0,0.0,14,30,spotify,jazz,11-15,6-7,2022-08-28,3
33,1.0,0,100.0,2,3,1,3,2,1,4,3,2,3,3,5.0,2.0,5.0,1.0,14,38,i do not use a streaming service.,metal,31-35,0-1,2022-08-28,3
26,1.0,0,113.0,2,1,3,4,1,1,4,4,4,4,1,3.0,2.0,0.0,0.0,14,41,spotify,r&b,26-30,0-1,2022-08-28,2
32,3.0,1,157.0,1,2,1,4,3,2,1,3,4,2,1,2.0,0.0,7.0,0.0,14,45,spotify,hip hop,31-35,2-3,2022-08-28,2
30,5.0,1,160.0,3,1,3,2,1,1,4,3,1,4,1,7.0,6.0,6.0,2.0,14,47,spotify,metal,26-30,4-5,2022-08-28,2
43,6.0,1,109.0,3,4,2,2,2,4,2,3,2,3,4,5.0,4.0,8.0,3.0,14,49,i do not use a streaming service.,video game music,41-45,5-6,2022-08-28,2
24,4.0,1,175.0,4,2,1,2,1,1,3,4,2,4,2,4.0,6.0,5.0,3.0,14,51,spotify,classical,21-25,3-4,2022-08-28,3
36,1.0,1,110.0,3,1,1,1,1,1,2,3,2,4,1,6.0,2.0,3.0,1.0,14,58,youtube music,rock,36-40,0-1,2022-08-28,3
19,4.0,1,162.0,2,2,1,2,1,3,1,3,1,2,4,8.0,2.0,1.0,6.0,14,59,youtube music,video game music,16-20,3-4,2022-08-28,3
22,10.0,1,189.0,2,1,4,1,1,1,4,2,1,3,3,9.0,6.0,0.0,6.0,15,2,spotify,metal,21-25,9-10,2022-08-28,3
20,3.0,0,121.0,2,4,1,3,1,3,1,3,1,3,2,0.0,3.0,7.0,0.0,15,3,spotify,edm,16-20,2-3,2022-08-28,3
31,2.0,0,200.0,2,1,2,2,1,2,3,3,1,4,1,8.0,9.0,6.0,2.0,15,3,spotify,rock,31-35,1-2,2022-08-28,3
19,4.0,1,105.0,3,1,1,3,1,1,3,3,2,4,2,4.0,1.0,1.0,1.0,15,7,spotify,metal,16-20,3-4,2022-08-28,3
15,8.0,1,193.0,1,1,1,1,1,1,3,2,1,4,2,8.0,7.0,5.0,0.0,15,9,spotify,rock,11-15,7-8,2022-08-28,3
18,2.0,0,149.0,1,2,1,3,1,1,4,3,1,4,2,3.0,4.0,6.0,1.0,15,22,spotify,metal,16-20,1-2,2022-08-28,3
25,0.5,0,140.0,4,1,1,1,3,1,2,2,2,4,3,1.0,1.0,3.0,1.0,15,32,i do not use a streaming service.,classical,21-25,0-1,2022-08-28,3
17,5.0,1,134.0,1,1,1,3,1,2,4,3,3,4,2,10.0,8.0,6.0,7.0,15,41,apple music,metal,16-20,4-5,2022-08-28,2
28,1.0,0,120.0,2,4,3,1,1,2,2,2,1,3,2,6.0,6.0,2.0,0.0,16,4,youtube music,rock,26-30,0-1,2022-08-28,2
20,3.0,1,170.0,1,2,1,2,1,2,2,3,3,4,3,6.0,7.0,0.0,0.0,16,7,spotify,rock,16-20,2-3,2022-08-28,3
21,2.0,1,107.0,3,1,4,1,1,2,4,2,1,3,4,8.0,4.0,10.0,0.0,16,7,youtube music,metal,21-25,1-2,2022-08-28,2
41,3.0,1,113.0,3,2,2,4,2,1,2,4,4,4,1,9.0,7.0,6.0,2.0,16,8,spotify,pop,41-45,2-3,2022-08-28,2
20,2.0,1,126.0,1,3,1,2,1,1,1,4,1,4,3,7.0,4.0,6.0,5.0,16,13,spotify,pop,16-20,1-2,2022-08-28,3
34,4.0,1,161.0,2,1,1,3,1,1,4,2,1,3,2,6.0,7.0,0.0,0.0,16,15,other streaming service,metal,31-35,3-4,2022-08-28,2
21,3.0,1,100.0,3,1,3,1,1,1,4,4,1,4,2,10.0,0.0,10.0,10.0,16,15,youtube music,metal,21-25,2-3,2022-08-28,3
23,2.0,1,100.0,2,1,2,1,1,3,4,2,1,3,2,6.0,3.0,0.0,1.0,16,15,spotify,metal,21-25,1-2,2022-08-28,3
16,3.0,0,140.0,2,1,1,3,2,1,1,4,3,1,1,7.0,5.0,5.0,3.0,16,15,spotify,pop,16-20,2-3,2022-08-28,3
19,4.0,1,156.0,2,2,2,3,1,1,2,4,2,3,3,7.0,10.0,5.0,0.0,16,23,youtube music,pop,16-20,3-4,2022-08-28,3
22,2.0,1,98.0,3,1,2,3,3,2,2,4,3,4,3,8.0,6.0,0.0,0.0,16,27,spotify,rock,21-25,1-2,2022-08-28,3
19,8.0,1,100.0,4,2,1,3,1,4,1,4,3,2,2,4.0,3.0,0.0,0.0,16,30,spotify,k pop,16-20,7-8,2022-08-28,3
23,4.0,1,78.0,2,3,3,4,3,4,2,4,4,3,3,7.0,6.0,7.0,5.0,16,30,spotify,hip hop,21-25,3-4,2022-08-28,3
23,2.0,0,117.0,1,2,1,2,1,1,4,1,1,3,1,7.0,3.0,2.0,3.0,16,32,spotify,metal,21-25,1-2,2022-08-28,3
22,1.0,0,128.0,1,4,1,3,1,1,1,4,4,3,1,2.0,7.0,5.0,0.0,16,34,spotify,edm,21-25,0-1,2022-08-28,3
17,3.0,1,130.0,2,3,3,2,1,4,3,4,4,4,3,7.0,8.0,6.0,5.0,16,37,spotify,rock,16-20,2-3,2022-08-28,3
28,0.5,0,130.0,2,1,4,2,1,1,1,3,1,4,2,4.0,7.0,1.0,0.0,16,37,spotify,folk,26-30,0-1,2022-08-28,3
